,Model,Loss,Val accuracy
0,model_1,1.6603997945785522,0.27586206793785095
1,model_2,1.5003244876861572,0.43793103098869324
2,model_3,1.4372321367263794,0.43448275327682495
3,model_4,1.3504931926727295,0.5034482479095459
